vectorno,label,model,alpha,type,preprocessor,tokenizer,max_features,stop_words,lowercase,strip_accents,score_type,score
22,insult,bern,{'alpha': 2.0},tfidf,0,0,3000,english,True,unicode,recall,0.8757297748123436
22,insult,multi,{'alpha': 1.0},tfidf,0,0,3000,english,True,unicode,roc_auc,0.7206095819365037
22,insult,bern,{'alpha': 10.0},tfidf,0,0,3000,english,True,unicode,roc_auc,0.868748918839357
22,identity_hate,multi,{'alpha': 2.0},tfidf,0,0,3000,english,True,unicode,precision,0.8181818181818182
22,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,3000,english,True,unicode,precision,0.1538068472151252
22,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,3000,english,True,unicode,recall,0.21962616822429906
22,identity_hate,bern,{'alpha': 0.5},tfidf,0,0,3000,english,True,unicode,recall,0.8551401869158879
22,identity_hate,multi,{'alpha': 0.5},tfidf,0,0,3000,english,True,unicode,roc_auc,0.574280251367599
22,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,3000,english,True,unicode,roc_auc,0.8341357782055244
23,toxic,multi,{'alpha': 100.0},tfidf,0,0,3000,english,False,unicode,precision,0.9233870967741935
23,toxic,bern,{'alpha': 20.0},tfidf,0,0,3000,english,False,unicode,precision,0.4125013612109332
23,toxic,multi,{'alpha': 0.001},tfidf,0,0,3000,english,False,unicode,recall,0.507221383918948
23,toxic,bern,{'alpha': 2.0},tfidf,0,0,3000,english,False,unicode,recall,0.863979305884889
23,toxic,multi,{'alpha': 1.0},tfidf,0,0,3000,english,False,unicode,roc_auc,0.7438436219790475
23,toxic,bern,{'alpha': 20.0},tfidf,0,0,3000,english,False,unicode,roc_auc,0.8456964470837529
23,severe_toxic,multi,{'alpha': 10.0},tfidf,0,0,3000,english,False,unicode,precision,0.72
23,severe_toxic,bern,{'alpha': 2.0},tfidf,0,0,3000,english,False,unicode,precision,0.09270548665125079
23,severe_toxic,multi,{'alpha': 0.01},tfidf,0,0,3000,english,False,unicode,recall,0.4789915966386555
23,severe_toxic,bern,{'alpha': 1.0},tfidf,0,0,3000,english,False,unicode,recall,0.9390756302521008
23,severe_toxic,multi,{'alpha': 0.5},tfidf,0,0,3000,english,False,unicode,roc_auc,0.7078478100360673
23,severe_toxic,bern,{'alpha': 2.0},tfidf,0,0,3000,english,False,unicode,roc_auc,0.9175797627744267
23,obscene,multi,{'alpha': 50.0},tfidf,0,0,3000,english,False,unicode,precision,0.9658536585365853
23,obscene,bern,{'alpha': 15.0},tfidf,0,0,3000,english,False,unicode,precision,0.507235142118863
23,obscene,multi,{'alpha': 0.01},tfidf,0,0,3000,english,False,unicode,recall,0.5459501557632399
23,obscene,bern,{'alpha': 2.0},tfidf,0,0,3000,english,False,unicode,recall,0.8781152647975078
23,obscene,multi,{'alpha': 1.0},tfidf,0,0,3000,english,False,unicode,roc_auc,0.7625271443520956
23,obscene,bern,{'alpha': 10.0},tfidf,0,0,3000,english,False,unicode,roc_auc,0.8671953350331957
23,threat,multi,{'alpha': 1.0},tfidf,0,0,3000,english,False,unicode,precision,0.5714285714285714
23,threat,bern,{'alpha': 1.0},tfidf,0,0,3000,english,False,unicode,precision,0.07266121707538602
23,threat,multi,{'alpha': 0.001},tfidf,0,0,3000,english,False,unicode,recall,0.15789473684210525
23,threat,bern,{'alpha': 0.1},tfidf,0,0,3000,english,False,unicode,recall,0.8157894736842105
23,threat,multi,{'alpha': 0.1},tfidf,0,0,3000,english,False,unicode,roc_auc,0.5746493006749397
23,threat,bern,{'alpha': 1.0},tfidf,0,0,3000,english,False,unicode,roc_auc,0.7524310766409836
23,insult,multi,{'alpha': 50.0},tfidf,0,0,3000,english,False,unicode,precision,0.958904109589041
23,insult,bern,{'alpha': 15.0},tfidf,0,0,3000,english,False,unicode,precision,0.4686147186147186
23,insult,multi,{'alpha': 0.01},tfidf,0,0,3000,english,False,unicode,recall,0.47289407839866554
23,insult,bern,{'alpha': 2.0},tfidf,0,0,3000,english,False,unicode,recall,0.8686405337781484
23,insult,multi,{'alpha': 1.0},tfidf,0,0,3000,english,False,unicode,roc_auc,0.7183431473520909
23,insult,bern,{'alpha': 10.0},tfidf,0,0,3000,english,False,unicode,roc_auc,0.8606143512286629
23,identity_hate,multi,{'alpha': 2.0},tfidf,0,0,3000,english,False,unicode,precision,0.3780487804878049
23,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,3000,english,False,unicode,precision,0.11659021406727829
23,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,3000,english,False,unicode,recall,0.23598130841121495
23,identity_hate,bern,{'alpha': 0.5},tfidf,0,0,3000,english,False,unicode,recall,0.8504672897196262
23,identity_hate,multi,{'alpha': 0.1},tfidf,0,0,3000,english,False,unicode,roc_auc,0.6053900780314081
23,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,3000,english,False,unicode,roc_auc,0.831886980379066
24,toxic,multi,{'alpha': 50.0},tfidf,0,0,4000,,True,,precision,1.0
24,toxic,bern,{'alpha': 50.0},tfidf,0,0,4000,,True,,precision,0.8227694792087202
24,toxic,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,,recall,0.48652726880793273
24,toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,,recall,0.8480275921534813
24,toxic,multi,{'alpha': 1.0},tfidf,0,0,4000,,True,,roc_auc,0.735338525325854
24,toxic,bern,{'alpha': 50.0},tfidf,0,0,4000,,True,,roc_auc,0.7145670745373502
24,severe_toxic,multi,{'alpha': 2.0},tfidf,0,0,4000,,True,,precision,0.6428571428571429
24,severe_toxic,bern,{'alpha': 0.0},tfidf,0,0,4000,,True,,precision,0.04565083281924738
24,severe_toxic,multi,{'alpha': 0.01},tfidf,0,0,4000,,True,,recall,0.4411764705882353
24,severe_toxic,bern,{'alpha': 1.0},tfidf,0,0,4000,,True,,recall,0.9285714285714286
24,severe_toxic,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,,roc_auc,0.7081482221593655
24,severe_toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,,roc_auc,0.8341663965816932
24,obscene,multi,{'alpha': 50.0},tfidf,0,0,4000,,True,,precision,1.0
24,obscene,bern,{'alpha': 20.0},tfidf,0,0,4000,,True,,precision,0.28368391131324616
24,obscene,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,,recall,0.5373831775700935
24,obscene,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,,recall,0.8648753894080997
24,obscene,multi,{'alpha': 0.5},tfidf,0,0,4000,,True,,roc_auc,0.7621084369025268
24,obscene,bern,{'alpha': 20.0},tfidf,0,0,4000,,True,,roc_auc,0.8328462176340883
24,threat,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,,precision,0.5416666666666666
24,threat,bern,{'alpha': 1.0},tfidf,0,0,4000,,True,,precision,0.05802047781569966
24,threat,multi,{'alpha': 0.001},tfidf,0,0,4000,,True,,recall,0.13157894736842105
24,threat,bern,{'alpha': 0.5},tfidf,0,0,4000,,True,,recall,0.8618421052631579
24,threat,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,,roc_auc,0.5426475898251438
24,threat,bern,{'alpha': 1.0},tfidf,0,0,4000,,True,,roc_auc,0.8711494129252657
24,insult,multi,{'alpha': 15.0},tfidf,0,0,4000,,True,,precision,0.9489795918367347
24,insult,bern,{'alpha': 20.0},tfidf,0,0,4000,,True,,precision,0.30539845758354756
24,insult,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,,recall,0.457047539616347
24,insult,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,,recall,0.8590492076730609
24,insult,multi,{'alpha': 0.5},tfidf,0,0,4000,,True,,roc_auc,0.7192051651820336
24,insult,bern,{'alpha': 20.0},tfidf,0,0,4000,,True,,roc_auc,0.8268689284294415
24,identity_hate,multi,{'alpha': 2.0},tfidf,0,0,4000,,True,,precision,0.8235294117647058
24,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,,precision,0.039473684210526314
24,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,4000,,True,,recall,0.22897196261682243
24,identity_hate,bern,{'alpha': 1.0},tfidf,0,0,4000,,True,,recall,0.8644859813084113
24,identity_hate,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,,roc_auc,0.6075881124813711
24,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,,roc_auc,0.8252564340604479
25,toxic,multi,{'alpha': 100.0},tfidf,0,0,4000,,False,,precision,0.8095238095238095
25,toxic,bern,{'alpha': 50.0},tfidf,0,0,4000,,False,,precision,0.7457571801566579
25,toxic,multi,{'alpha': 0.01},tfidf,0,0,4000,,False,,recall,0.49816770855787884
25,toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,,recall,0.8463030825608967
25,toxic,multi,{'alpha': 1.0},tfidf,0,0,4000,,False,,roc_auc,0.7374347102644648
25,toxic,bern,{'alpha': 50.0},tfidf,0,0,4000,,False,,roc_auc,0.737245241855429
25,severe_toxic,multi,{'alpha': 10.0},tfidf,0,0,4000,,False,,precision,0.46153846153846156
25,severe_toxic,bern,{'alpha': 10.0},tfidf,0,0,4000,,False,,precision,0.21541501976284586
25,severe_toxic,multi,{'alpha': 0.01},tfidf,0,0,4000,,False,,recall,0.4810924369747899
25,severe_toxic,bern,{'alpha': 0.5},tfidf,0,0,4000,,False,,recall,0.9327731092436975
25,severe_toxic,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,,roc_auc,0.7379535138573592
25,severe_toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,,roc_auc,0.8353014423870972
25,obscene,multi,{'alpha': 50.0},tfidf,0,0,4000,,False,,precision,0.7707006369426752
25,obscene,bern,{'alpha': 20.0},tfidf,0,0,4000,,False,,precision,0.23329041320379257
25,obscene,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,,recall,0.5315420560747663
25,obscene,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,,recall,0.8551401869158879
25,obscene,multi,{'alpha': 0.5},tfidf,0,0,4000,,False,,roc_auc,0.7559645726984193
25,obscene,bern,{'alpha': 20.0},tfidf,0,0,4000,,False,,roc_auc,0.815549321865297
25,threat,multi,{'alpha': 0.0001},tfidf,0,0,4000,,False,,precision,0.18032786885245902
25,threat,bern,{'alpha': 1.0},tfidf,0,0,4000,,False,,precision,0.03984194929206454
25,threat,multi,{'alpha': 0.01},tfidf,0,0,4000,,False,,recall,0.17763157894736842
25,threat,bern,{'alpha': 0.5},tfidf,0,0,4000,,False,,recall,0.8552631578947368
25,threat,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,,roc_auc,0.5645707558594117
25,threat,bern,{'alpha': 1.0},tfidf,0,0,4000,,False,,roc_auc,0.8673902711591864
25,insult,multi,{'alpha': 50.0},tfidf,0,0,4000,,False,,precision,0.7228915662650602
25,insult,bern,{'alpha': 20.0},tfidf,0,0,4000,,False,,precision,0.24989587671803415
25,insult,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,,recall,0.4641367806505421
25,insult,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,,recall,0.8519599666388658
25,insult,multi,{'alpha': 0.5},tfidf,0,0,4000,,False,,roc_auc,0.7205705658894818
25,insult,bern,{'alpha': 20.0},tfidf,0,0,4000,,False,,roc_auc,0.8157361810771298
25,identity_hate,multi,{'alpha': 0.0},tfidf,0,0,4000,,False,,precision,0.22737306843267108
25,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,,precision,0.03296282100421617
25,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,4000,,False,,recall,0.25
25,identity_hate,bern,{'alpha': 0.5},tfidf,0,0,4000,,False,,recall,0.8411214953271028
25,identity_hate,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,,roc_auc,0.6200274853067679
25,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,,roc_auc,0.79522221816203
26,toxic,multi,{'alpha': 50.0},tfidf,0,0,4000,,True,ascii,precision,1.0
26,toxic,bern,{'alpha': 50.0},tfidf,0,0,4000,,True,ascii,precision,0.8217179902755267
26,toxic,multi,{'alpha': 0.01},tfidf,0,0,4000,,True,ascii,recall,0.4897607242940289
26,toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,ascii,recall,0.8482431558525544
26,toxic,multi,{'alpha': 1.0},tfidf,0,0,4000,,True,ascii,roc_auc,0.7355772887279709
26,toxic,bern,{'alpha': 50.0},tfidf,0,0,4000,,True,ascii,roc_auc,0.713477656190463
26,severe_toxic,multi,{'alpha': 2.0},tfidf,0,0,4000,,True,ascii,precision,0.6428571428571429
26,severe_toxic,bern,{'alpha': 0.0},tfidf,0,0,4000,,True,ascii,precision,0.04568465242622546
26,severe_toxic,multi,{'alpha': 0.01},tfidf,0,0,4000,,True,ascii,recall,0.4411764705882353
26,severe_toxic,bern,{'alpha': 1.0},tfidf,0,0,4000,,True,ascii,recall,0.9285714285714286
26,severe_toxic,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,ascii,roc_auc,0.7081588003640324
26,severe_toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,ascii,roc_auc,0.8342298658096958
26,obscene,multi,{'alpha': 50.0},tfidf,0,0,4000,,True,ascii,precision,1.0
26,obscene,bern,{'alpha': 20.0},tfidf,0,0,4000,,True,ascii,precision,0.2843892694063927
26,obscene,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,ascii,recall,0.5366043613707165
26,obscene,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,ascii,recall,0.8652647975077882
26,obscene,multi,{'alpha': 0.5},tfidf,0,0,4000,,True,ascii,roc_auc,0.7619137328526826
26,obscene,bern,{'alpha': 20.0},tfidf,0,0,4000,,True,ascii,roc_auc,0.8325388072001062
26,threat,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,ascii,precision,0.5416666666666666
26,threat,bern,{'alpha': 1.0},tfidf,0,0,4000,,True,ascii,precision,0.060498220640569395
26,threat,multi,{'alpha': 0.001},tfidf,0,0,4000,,True,ascii,recall,0.13157894736842105
26,threat,bern,{'alpha': 0.5},tfidf,0,0,4000,,True,ascii,recall,0.868421052631579
26,threat,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,ascii,roc_auc,0.5426475898251438
26,threat,bern,{'alpha': 1.0},tfidf,0,0,4000,,True,ascii,roc_auc,0.8720319327294304
26,insult,multi,{'alpha': 15.0},tfidf,0,0,4000,,True,ascii,precision,0.9455782312925171
26,insult,bern,{'alpha': 20.0},tfidf,0,0,4000,,True,ascii,precision,0.3058560879271853
26,insult,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,ascii,recall,0.457047539616347
26,insult,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,ascii,recall,0.8590492076730609
26,insult,multi,{'alpha': 0.5},tfidf,0,0,4000,,True,ascii,roc_auc,0.7191941386079902
26,insult,bern,{'alpha': 20.0},tfidf,0,0,4000,,True,ascii,roc_auc,0.8267817136546783
26,identity_hate,multi,{'alpha': 2.0},tfidf,0,0,4000,,True,ascii,precision,0.8235294117647058
26,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,ascii,precision,0.03953050603476913
26,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,4000,,True,ascii,recall,0.22897196261682243
26,identity_hate,bern,{'alpha': 1.0},tfidf,0,0,4000,,True,ascii,recall,0.8644859813084113
26,identity_hate,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,ascii,roc_auc,0.6052622313565574
26,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,ascii,roc_auc,0.8253938112135708
27,toxic,multi,{'alpha': 100.0},tfidf,0,0,4000,,False,ascii,precision,0.8095238095238095
27,toxic,bern,{'alpha': 50.0},tfidf,0,0,4000,,False,ascii,precision,0.7466316135392704
27,toxic,multi,{'alpha': 0.01},tfidf,0,0,4000,,False,ascii,recall,0.49838327225695195
27,toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,ascii,recall,0.8460875188618237
27,toxic,multi,{'alpha': 1.0},tfidf,0,0,4000,,False,ascii,roc_auc,0.7374347102644648
27,toxic,bern,{'alpha': 50.0},tfidf,0,0,4000,,False,ascii,roc_auc,0.7359368766236292
27,severe_toxic,multi,{'alpha': 10.0},tfidf,0,0,4000,,False,ascii,precision,0.46153846153846156
27,severe_toxic,bern,{'alpha': 10.0},tfidf,0,0,4000,,False,ascii,precision,0.21739130434782608
27,severe_toxic,multi,{'alpha': 0.01},tfidf,0,0,4000,,False,ascii,recall,0.4810924369747899
27,severe_toxic,bern,{'alpha': 0.5},tfidf,0,0,4000,,False,ascii,recall,0.9327731092436975
27,severe_toxic,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,ascii,roc_auc,0.7379535138573592
27,severe_toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,ascii,roc_auc,0.835280285977763
27,obscene,multi,{'alpha': 50.0},tfidf,0,0,4000,,False,ascii,precision,0.7707006369426752
27,obscene,bern,{'alpha': 20.0},tfidf,0,0,4000,,False,ascii,precision,0.23578872572240644
27,obscene,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,ascii,recall,0.5319314641744548
27,obscene,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,ascii,recall,0.8563084112149533
27,obscene,multi,{'alpha': 0.5},tfidf,0,0,4000,,False,ascii,roc_auc,0.7559645726984193
27,obscene,bern,{'alpha': 20.0},tfidf,0,0,4000,,False,ascii,roc_auc,0.8162335164219451
27,threat,multi,{'alpha': 0.0001},tfidf,0,0,4000,,False,ascii,precision,0.17886178861788618
27,threat,bern,{'alpha': 1.0},tfidf,0,0,4000,,False,ascii,precision,0.0415664720027482
27,threat,multi,{'alpha': 0.01},tfidf,0,0,4000,,False,ascii,recall,0.17763157894736842
27,threat,bern,{'alpha': 0.5},tfidf,0,0,4000,,False,ascii,recall,0.8552631578947368
27,threat,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,ascii,roc_auc,0.5645287311068324
27,threat,bern,{'alpha': 1.0},tfidf,0,0,4000,,False,ascii,roc_auc,0.8687140508654334
27,insult,multi,{'alpha': 50.0},tfidf,0,0,4000,,False,ascii,precision,0.7228915662650602
27,insult,bern,{'alpha': 20.0},tfidf,0,0,4000,,False,ascii,precision,0.25055710306406687
27,insult,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,ascii,recall,0.46497080900750626
27,insult,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,ascii,recall,0.8519599666388658
27,insult,multi,{'alpha': 0.5},tfidf,0,0,4000,,False,ascii,roc_auc,0.7205705658894818
27,insult,bern,{'alpha': 20.0},tfidf,0,0,4000,,False,ascii,roc_auc,0.8157702586168447
27,identity_hate,multi,{'alpha': 0.0},tfidf,0,0,4000,,False,ascii,precision,0.2251655629139073
27,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,ascii,precision,0.03305467473815701
27,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,4000,,False,ascii,recall,0.25
27,identity_hate,bern,{'alpha': 0.5},tfidf,0,0,4000,,False,ascii,recall,0.8411214953271028
27,identity_hate,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,ascii,roc_auc,0.6200169178334508
27,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,ascii,roc_auc,0.7955286748882267
28,toxic,multi,{'alpha': 50.0},tfidf,0,0,4000,,True,unicode,precision,1.0
28,toxic,bern,{'alpha': 50.0},tfidf,0,0,4000,,True,unicode,precision,0.8222222222222222
28,toxic,multi,{'alpha': 0.001},tfidf,0,0,4000,,True,unicode,recall,0.4886829057986635
28,toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,unicode,recall,0.8478120284544083
28,toxic,multi,{'alpha': 1.0},tfidf,0,0,4000,,True,unicode,roc_auc,0.7354463071753905
28,toxic,bern,{'alpha': 50.0},tfidf,0,0,4000,,True,unicode,roc_auc,0.7142321291372187
28,severe_toxic,multi,{'alpha': 2.0},tfidf,0,0,4000,,True,unicode,precision,0.6428571428571429
28,severe_toxic,bern,{'alpha': 0.0},tfidf,0,0,4000,,True,unicode,precision,0.04562831421876927
28,severe_toxic,multi,{'alpha': 0.01},tfidf,0,0,4000,,True,unicode,recall,0.4411764705882353
28,severe_toxic,bern,{'alpha': 1.0},tfidf,0,0,4000,,True,unicode,recall,0.9264705882352942
28,severe_toxic,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,unicode,roc_auc,0.7081482221593655
28,severe_toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,unicode,roc_auc,0.834145240172359
28,obscene,multi,{'alpha': 50.0},tfidf,0,0,4000,,True,unicode,precision,1.0
28,obscene,bern,{'alpha': 20.0},tfidf,0,0,4000,,True,unicode,precision,0.28414755732801594
28,obscene,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,unicode,recall,0.5373831775700935
28,obscene,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,unicode,recall,0.8648753894080997
28,obscene,multi,{'alpha': 0.5},tfidf,0,0,4000,,True,unicode,roc_auc,0.7619137328526826
28,obscene,bern,{'alpha': 20.0},tfidf,0,0,4000,,True,unicode,roc_auc,0.8328064665449525
28,threat,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,unicode,precision,0.5416666666666666
28,threat,bern,{'alpha': 1.0},tfidf,0,0,4000,,True,unicode,precision,0.059989832231825115
28,threat,multi,{'alpha': 0.001},tfidf,0,0,4000,,True,unicode,recall,0.13157894736842105
28,threat,bern,{'alpha': 0.5},tfidf,0,0,4000,,True,unicode,recall,0.868421052631579
28,threat,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,unicode,roc_auc,0.5426475898251438
28,threat,bern,{'alpha': 1.0},tfidf,0,0,4000,,True,unicode,roc_auc,0.8687319528570747
28,insult,multi,{'alpha': 15.0},tfidf,0,0,4000,,True,unicode,precision,0.9489795918367347
28,insult,bern,{'alpha': 20.0},tfidf,0,0,4000,,True,unicode,precision,0.30581774498026426
28,insult,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,unicode,recall,0.45746455379482903
28,insult,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,unicode,recall,0.8590492076730609
28,insult,multi,{'alpha': 0.5},tfidf,0,0,4000,,True,unicode,roc_auc,0.7192051651820336
28,insult,bern,{'alpha': 20.0},tfidf,0,0,4000,,True,unicode,roc_auc,0.8269571410217892
28,identity_hate,multi,{'alpha': 2.0},tfidf,0,0,4000,,True,unicode,precision,0.8235294117647058
28,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,unicode,precision,0.03951300498063088
28,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,4000,,True,unicode,recall,0.22897196261682243
28,identity_hate,bern,{'alpha': 1.0},tfidf,0,0,4000,,True,unicode,recall,0.8644859813084113
28,identity_hate,multi,{'alpha': 0.1},tfidf,0,0,4000,,True,unicode,roc_auc,0.6075881124813711
28,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,4000,,True,unicode,roc_auc,0.8253515413203021
29,toxic,multi,{'alpha': 100.0},tfidf,0,0,4000,,False,unicode,precision,0.8095238095238095
29,toxic,bern,{'alpha': 50.0},tfidf,0,0,4000,,False,unicode,precision,0.7459177008491182
29,toxic,multi,{'alpha': 0.01},tfidf,0,0,4000,,False,unicode,recall,0.49816770855787884
29,toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,unicode,recall,0.8458719551627506
29,toxic,multi,{'alpha': 1.0},tfidf,0,0,4000,,False,unicode,roc_auc,0.7374347102644648
29,toxic,bern,{'alpha': 50.0},tfidf,0,0,4000,,False,unicode,roc_auc,0.7371490598574143
29,severe_toxic,multi,{'alpha': 10.0},tfidf,0,0,4000,,False,unicode,precision,0.46153846153846156
29,severe_toxic,bern,{'alpha': 10.0},tfidf,0,0,4000,,False,unicode,precision,0.21626984126984128
29,severe_toxic,multi,{'alpha': 0.01},tfidf,0,0,4000,,False,unicode,recall,0.4810924369747899
29,severe_toxic,bern,{'alpha': 0.5},tfidf,0,0,4000,,False,unicode,recall,0.9327731092436975
29,severe_toxic,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,unicode,roc_auc,0.7379535138573592
29,severe_toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,unicode,roc_auc,0.8353331770010985
29,obscene,multi,{'alpha': 50.0},tfidf,0,0,4000,,False,unicode,precision,0.7707006369426752
29,obscene,bern,{'alpha': 20.0},tfidf,0,0,4000,,False,unicode,precision,0.2357117500887469
29,obscene,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,unicode,recall,0.5315420560747663
29,obscene,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,unicode,recall,0.8563084112149533
29,obscene,multi,{'alpha': 0.5},tfidf,0,0,4000,,False,unicode,roc_auc,0.7559645726984193
29,obscene,bern,{'alpha': 20.0},tfidf,0,0,4000,,False,unicode,roc_auc,0.8163618120600572
29,threat,multi,{'alpha': 0.0001},tfidf,0,0,4000,,False,unicode,precision,0.18181818181818182
29,threat,bern,{'alpha': 1.0},tfidf,0,0,4000,,False,unicode,precision,0.0415521978021978
29,threat,multi,{'alpha': 0.01},tfidf,0,0,4000,,False,unicode,recall,0.17763157894736842
29,threat,bern,{'alpha': 0.5},tfidf,0,0,4000,,False,unicode,recall,0.8552631578947368
29,threat,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,unicode,roc_auc,0.5645287311068324
29,threat,bern,{'alpha': 1.0},tfidf,0,0,4000,,False,unicode,roc_auc,0.8687035446772886
29,insult,multi,{'alpha': 50.0},tfidf,0,0,4000,,False,unicode,precision,0.7228915662650602
29,insult,bern,{'alpha': 20.0},tfidf,0,0,4000,,False,unicode,precision,0.2501389660922735
29,insult,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,unicode,recall,0.4641367806505421
29,insult,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,unicode,recall,0.8523769808173478
29,insult,multi,{'alpha': 0.5},tfidf,0,0,4000,,False,unicode,roc_auc,0.7203730853742841
29,insult,bern,{'alpha': 20.0},tfidf,0,0,4000,,False,unicode,roc_auc,0.815813367095434
29,identity_hate,multi,{'alpha': 0.0},tfidf,0,0,4000,,False,unicode,precision,0.22566371681415928
29,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,unicode,precision,0.03299760191846523
29,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,4000,,False,unicode,recall,0.25
29,identity_hate,bern,{'alpha': 0.5},tfidf,0,0,4000,,False,unicode,recall,0.8411214953271028
29,identity_hate,multi,{'alpha': 0.1},tfidf,0,0,4000,,False,unicode,roc_auc,0.6200169178334508
29,identity_hate,bern,{'alpha': 2.0},tfidf,0,0,4000,,False,unicode,roc_auc,0.7953384603685183
30,toxic,multi,{'alpha': 50.0},tfidf,0,0,4000,english,True,,precision,0.9979338842975206
30,toxic,bern,{'alpha': 20.0},tfidf,0,0,4000,english,True,,precision,0.5904090752836026
30,toxic,multi,{'alpha': 0.01},tfidf,0,0,4000,english,True,,recall,0.5145505496874326
30,toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,english,True,,recall,0.8743263634403966
30,toxic,multi,{'alpha': 1.0},tfidf,0,0,4000,english,True,,roc_auc,0.7486706080056548
30,toxic,bern,{'alpha': 15.0},tfidf,0,0,4000,english,True,,roc_auc,0.8530826419131686
30,severe_toxic,multi,{'alpha': 2.0},tfidf,0,0,4000,english,True,,precision,0.6029411764705882
30,severe_toxic,bern,{'alpha': 2.0},tfidf,0,0,4000,english,True,,precision,0.15714805383775918
30,severe_toxic,multi,{'alpha': 0.01},tfidf,0,0,4000,english,True,,recall,0.42016806722689076
